epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,382.4,1.56921,3.78194,0.00901,0.38762,0.22819,0.2176,0.15636,1.4354,2.12602,0.01367,0.00998948,0.00332983,0.00998948,0.00332983,0.00998948,0.00332983,0.00998948,0.00332983
2,696.959,1.52352,2.74775,0.00899,0.42254,0.26339,0.2627,0.17321,1.47689,1.92573,0.01547,0.0197916,0.0065972,0.0197916,0.0065972,0.0197916,0.0065972,0.0197916,0.0065972
3,902.386,1.56904,2.45461,0.00963,0.3937,0.26136,0.25842,0.15702,1.61778,2.00846,0.01815,0.0293957,0.00979856,0.0293957,0.00979856,0.0293957,0.00979856,0.0293957,0.00979856
4,1037.8,1.60543,2.31384,0.01025,0.34625,0.27132,0.26257,0.16977,1.64828,2.04092,0.01854,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1175.44,1.5872,2.17168,0.00998,0.3857,0.28343,0.26757,0.17381,1.63047,2.05401,0.01831,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1311.62,1.57168,2.07734,0.00978,0.40575,0.29185,0.29387,0.18777,1.60053,1.84824,0.01805,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1448.22,1.5535,2.02728,0.00964,0.43975,0.30944,0.31157,0.20096,1.59585,1.80285,0.01813,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1605.91,1.53258,1.97735,0.00952,0.40448,0.31325,0.30768,0.20109,1.56161,1.78707,0.01727,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1766.55,1.52301,1.9455,0.00938,0.49972,0.32648,0.32996,0.21577,1.57019,1.73575,0.01754,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1937.01,1.50673,1.90873,0.00933,0.48448,0.32714,0.35374,0.24059,1.54053,1.65163,0.01699,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2097.39,1.49048,1.88355,0.0093,0.49058,0.35896,0.3593,0.23716,1.56184,1.74646,0.0174,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2264.01,1.49287,1.84486,0.00911,0.47118,0.36634,0.36649,0.24362,1.52356,1.60101,0.01662,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2402.39,1.48115,1.83062,0.00902,0.52186,0.35171,0.38087,0.25787,1.49521,1.60307,0.01617,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2541.29,1.47039,1.78909,0.0089,0.54517,0.37746,0.37258,0.25435,1.50176,1.64762,0.01638,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2679.88,1.45485,1.78412,0.00892,0.55913,0.35769,0.38912,0.26432,1.50549,1.56609,0.01629,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2818.12,1.45685,1.77034,0.00888,0.51923,0.38069,0.38648,0.26817,1.49903,1.59553,0.01612,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2956.94,1.44891,1.75333,0.00882,0.55647,0.38619,0.4063,0.28199,1.4601,1.48092,0.01575,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3093.01,1.43952,1.72773,0.0088,0.55002,0.38246,0.39811,0.27811,1.44593,1.51159,0.01559,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3230.9,1.43615,1.70858,0.00865,0.55915,0.38548,0.39563,0.27763,1.47204,1.5721,0.01561,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3368.48,1.43723,1.69865,0.00861,0.5787,0.40897,0.41884,0.29469,1.46665,1.49485,0.01588,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3504.82,1.41243,1.68572,0.00859,0.60013,0.37832,0.40065,0.27688,1.4335,1.44012,0.01532,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3644.11,1.41232,1.66662,0.00854,0.56701,0.40072,0.41914,0.29581,1.44665,1.42882,0.01529,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3780.58,1.41338,1.6638,0.0085,0.57168,0.39624,0.41858,0.2965,1.42725,1.47608,0.01513,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3918.93,1.39962,1.64778,0.00845,0.61809,0.40962,0.41999,0.29443,1.42159,1.44987,0.01524,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4057.79,1.39189,1.62277,0.00837,0.5619,0.42744,0.43435,0.30872,1.41211,1.44552,0.0148,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4195.15,1.39179,1.62268,0.00842,0.58259,0.3967,0.42495,0.30271,1.40991,1.40201,0.01494,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4334.34,1.38065,1.60213,0.00828,0.63318,0.39947,0.43582,0.30824,1.40849,1.40465,0.01496,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4473.62,1.3829,1.59516,0.00831,0.62795,0.3969,0.43461,0.31099,1.40511,1.38236,0.01497,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4612.74,1.37835,1.59049,0.00834,0.62335,0.42002,0.45301,0.32066,1.39165,1.39159,0.01451,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4754.52,1.38544,1.59028,0.00823,0.63967,0.41561,0.45028,0.3222,1.39952,1.35668,0.01475,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4896.52,1.36842,1.5611,0.00819,0.62447,0.42,0.44665,0.32084,1.37778,1.38324,0.0144,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5035.43,1.36845,1.55748,0.00818,0.61898,0.44643,0.45744,0.32674,1.38222,1.37079,0.01437,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
